pickup_zipcode,dropoff_zipcode,trip_time_in_secs
2150,2150,0.0
2840,2840,645.0
2841,2842,2160.0
6611,6611,120.0
6831,6831,0.0
6878,6878,35.0
6878,10573,840.0
6901,6901,64.0
6902,6902,123.33333333333333
6906,6906,39.0
7001,7001,660.0
7001,10014,1380.0
7002,7002,347.3636363636364
7002,7305,420.0
7002,7734,1020.0
7002,10009,723.0
7002,10016,360.0
7002,10025,1260.0
7002,10173,1560.0
7002,10304,240.0
7002,11201,1450.0
7002,11211,1320.0
7002,11231,360.0
7002,11232,660.0
7004,7004,103.0
7005,7005,450.0
7005,7082,660.0
7005,10119,1680.0
7008,7008,587.2758620689655
7008,10309,1440.0
7010,7010,54.25
7010,7020,240.0
7010,7024,508.0
7010,7632,1200.0
7010,10004,1740.0
7010,10006,1320.0
7010,10010,900.0
7010,10011,840.0
7010,10019,660.0
7010,10021,900.0
7010,10024,1740.0
7010,10036,660.0
7010,10065,900.0
7010,10119,480.0
7010,10128,1020.0
7010,11104,1140.0
7011,7011,0.0
7012,7055,300.0
7012,10019,180.0
7013,7502,1080.0
7014,7012,1080.0
7014,7014,495.7142857142857
7014,7026,1260.0
7014,7057,480.0
7014,7110,240.0
7017,7050,1080.0
7017,10036,1500.0
7018,7106,1140.0
7018,10020,660.0
7018,10022,480.0
7020,7020,265.8
7020,7022,180.0
7020,7094,980.0
7020,7114,3000.0
7020,7657,720.0
7020,10017,1200.0
7020,10023,960.0
7020,10024,240.0
7020,10036,810.0
7020,10154,120.0
7021,7034,2640.0
7022,7022,251.0
7022,7047,600.0
7022,7072,1080.0
7022,7087,866.0
7022,7093,669.25
7022,7650,720.0
7022,7657,403.0
7022,10009,696.0
7022,10010,600.0
7022,10012,180.0
7022,10014,480.0
7022,10018,600.0
7022,10024,360.0
7022,10026,1200.0
7022,10036,240.0
7022,10069,1260.0
7023,7023,67.75
7023,10026,1320.0
7024,7024,204.68
7024,7073,1800.0
7024,7601,603.0
7024,10016,1260.0
7024,10021,300.0
7024,10031,240.0
7024,10032,420.0
7024,10033,390.0
7024,10065,300.0
7024,10069,1200.0
7024,11369,1320.0
7026,7026,540.0
7026,7055,720.0
7026,7480,300.0
7026,7644,240.0
7027,7027,660.0
7028,7028,62.714285714285715
7029,7029,36.6
7029,10021,600.0
7029,11217,1080.0
7030,7030,67.5229357798165
7030,7086,921.75
7030,7093,420.0
7030,7302,660.0
7030,7307,690.0
7030,7310,432.6666666666667
7030,10006,540.0
7030,10010,1635.0
7030,10014,618.75
7030,10016,909.3333333333334
7030,10018,660.0
7030,10020,780.0
7030,10025,720.0
7030,10036,480.0
7030,10075,480.0
7030,10119,660.0
7030,10128,1020.0
7030,10165,600.0
7030,10278,1020.0
7030,10280,1320.0
7030,11378,1620.0
7031,7014,540.0
7031,7031,587.2
7031,10016,420.0
7032,7008,1080.0
7032,7032,180.33333333333334
7032,7039,1000.0
7032,7094,1200.0
7032,7105,181.0
7032,7114,726.0
7032,10065,1020.0
7032,10119,360.0
7032,11430,2340.0
7033,7081,480.0
7036,7008,1500.0
7036,7036,653.6842105263158
7036,7065,831.0
7036,7083,2580.0
7036,7202,540.0
7036,7203,1320.0
7036,7204,960.0
7036,10303,990.0
7039,10012,466.0
7039,10029,720.0
7040,7039,1620.0
7040,7040,140.5
7040,7088,660.0
7041,7041,360.0
7042,7028,180.0
7042,7042,52.833333333333336
7042,10014,180.0
7044,7044,113.0
7045,7005,480.0
7046,7046,33.0
7046,10028,1049.0
7047,7022,420.0
7047,7030,660.0
7047,7047,365.3333333333333
7047,7072,570.0
7047,7074,1620.0
7047,7087,420.0
7047,7093,422.0
7047,7094,720.0
7047,7310,1080.0
7047,7657,1020.0
