pickup_zipcode,dropoff_zipcode,trip_time_in_secs
2840,2840,420.0
6611,6611,120.0
6878,6878,0.0
6902,6902,120.0
7002,7002,432.0
7002,10025,1260.0
7002,10173,2340.0
7002,11231,360.0
7008,7008,654.0
7010,10004,1740.0
7010,10036,660.0
7010,11104,1140.0
7011,7011,0.0
7013,7502,1080.0
7014,7110,240.0
7017,7050,1080.0
7017,10036,1500.0
7020,7020,60.0
7022,7047,300.0
7022,7093,720.0
7022,10014,480.0
7022,10018,600.0
7022,10069,1260.0
7023,7023,60.0
7024,7024,60.0
7024,7073,1800.0
7028,7028,40.0
7029,10021,600.0
7029,11217,1080.0
7030,7030,77.5609756097561
7030,7086,1020.0
7030,7307,690.0
7030,7310,420.0
7030,10014,360.0
7030,10020,780.0
7030,10128,1020.0
7030,11378,1620.0
7032,7008,1080.0
7032,7114,960.0
7033,7081,480.0
7040,7040,60.0
7042,7042,60.0
7047,7072,600.0
7047,7087,360.0
7047,7094,480.0
7047,7310,1080.0
7047,10128,900.0
7050,7050,300.0
7054,7054,0.0
7057,7073,900.0
7070,7070,756.0
7070,7071,570.0
7070,7643,1620.0
7070,10020,1320.0
7071,7070,540.0
7071,7071,60.0
7072,7014,1080.0
7072,7047,540.0
7072,7072,420.0
7072,7073,840.0
7072,7094,1260.0
7073,7071,1140.0
7073,7072,480.0
7073,7073,420.0
7073,7074,660.0
7074,7073,720.0
7081,7078,60.0
7081,7081,240.0
7081,7901,1020.0
7086,7030,750.0
7086,7086,300.0
7086,7087,780.0
7086,7093,540.0
7086,7114,1500.0
7086,7307,900.0
7086,8832,1800.0
7086,10007,360.0
7086,10014,600.0
7086,10119,840.0
7086,10282,900.0
7086,11211,240.0
7087,7047,540.0
7087,7086,1320.0
7087,7087,310.0
7087,10006,1080.0
7087,10018,840.0
7087,11415,1440.0
7093,7087,780.0
7093,7093,173.33333333333334
7093,7643,900.0
7093,10016,420.0
7093,10024,660.0
7093,10028,720.0
7093,10454,1080.0
7093,11101,960.0
7093,11229,480.0
7094,7047,660.0
7094,7071,840.0
7094,7087,420.0
7094,7094,120.0
7094,7114,1800.0
7094,7307,1740.0
7094,10003,720.0
7102,7102,90.0
7102,7107,1500.0
7105,10173,780.0
7110,7013,540.0
7110,7110,60.0
7114,7002,1320.0
7114,7114,418.8
7114,7205,420.0
7114,7306,1260.0
7114,10002,540.0
7114,10012,420.0
7114,10278,1500.0
7206,7206,60.0
7302,7114,960.0
7302,7302,46.95
7302,10003,1740.0
7302,11209,1560.0
7304,7304,420.0
7305,7114,840.0
7305,7304,180.0
7305,7305,360.0
7305,10013,480.0
7306,7114,1560.0
7306,7304,180.0
7306,7306,48.0
7306,7606,780.0
7306,10009,720.0
7306,10128,1320.0
7307,7032,1260.0
7307,7075,1740.0
7307,7307,450.0
7307,10011,1440.0
7307,10112,1020.0
7307,10128,1320.0
7310,7029,690.0
7310,7030,660.0
7310,7114,1220.0
7310,7201,840.0
7310,7302,1050.0
7310,7307,420.0
7310,7310,91.64285714285714
7310,10003,660.0
7310,10012,360.0
7310,10013,720.0
7310,10021,1080.0
7310,10022,1560.0
7310,10036,1860.0
7310,10065,1380.0
7310,10111,600.0
7310,10128,1200.0
7310,10282,840.0
7310,11217,4380.0
7311,7305,1440.0
7311,7311,60.0
7311,10010,720.0
7311,10016,660.0
7311,10021,360.0
7311,11215,240.0
7410,7410,60.0
7440,7440,360.0
7440,10075,300.0
7444,7442,540.0
7452,7410,600.0
7452,10019,720.0
7470,7440,240.0
7470,7470,210.0
7603,7666,240.0
7605,7024,180.0
7605,7605,60.0
7605,7666,360.0
7606,11430,2100.0
7607,7662,660.0
7608,7057,900.0
7608,7608,600.0
7621,7603,600.0
7621,7621,300.0
7621,7646,1200.0
7621,7666,300.0
7630,10069,840.0
7631,7631,766.6666666666666
7640,10065,1080.0
7640,10965,540.0
7643,10069,1260.0
7644,7644,60.0
7649,7649,120.0
7652,7452,840.0
7652,7652,900.0
7657,7660,900.0
7657,10010,1320.0
7657,10065,600.0
7662,7652,420.0
7666,7666,120.0
7670,7646,420.0
7670,7670,180.0
7721,7721,60.0
7750,7756,540.0
7825,7825,360.0
7830,10016,1200.0
7834,7834,510.0
7838,11201,1020.0
7901,7901,60.0
7901,7928,1380.0
7924,10165,840.0
7927,7927,560.0
7932,7981,780.0
7940,7940,810.0
7950,7834,840.0
7960,6901,2820.0
7981,7927,780.0
7981,7981,504.0
8203,10455,1260.0
8802,8829,960.0
8822,8822,60.0
8826,11430,2460.0
8829,10065,360.0
8830,8830,60.0
8863,8863,120.0
8865,10014,660.0
8886,10020,1740.0
10001,7030,1560.0
10001,7086,900.0
10001,7093,840.0
10001,7114,1698.0
10001,7307,900.0
10001,7310,1140.0
10001,7470,1980.0
10001,7631,1200.0
10001,10001,333.75
10001,10002,970.4347826086956
10001,10003,727.7922077922078
10001,10004,1037.7777777777778
10001,10005,740.0
10001,10006,956.9230769230769
10001,10007,888.8888888888889
10001,10009,922.7586206896551
10001,10010,627.5675675675676
10001,10011,350.1219512195122
10001,10012,825.703488372093
10001,10013,756.3285714285714
10001,10014,481.2882882882883
10001,10016,621.5267175572519
10001,10017,988.421052631579
10001,10018,402.95081967213116
10001,10019,349.6545454545454
10001,10020,546.1546762589928
10001,10021,864.8780487804878
10001,10022,917.6
10001,10023,516.3829787234042
10001,10024,670.8510638297872
10001,10025,743.4782608695652
10001,10026,950.0
10001,10027,705.0
10001,10028,1070.909090909091
10001,10029,1121.5384615384614
10001,10030,1132.9411764705883
10001,10031,1072.5
10001,10032,948.0
10001,10033,1297.5
10001,10034,1590.0
10001,10035,1230.0
10001,10036,298.5374449339207
10001,10037,1245.0
10001,10038,1164.0
10001,10039,1284.0
10001,10040,1220.0
10001,10044,1290.0
10001,10065,863.3898305084746
10001,10069,471.42857142857144
10001,10075,958.5
10001,10111,765.0
10001,10112,624.375
10001,10115,967.5
10001,10119,421.22727272727275
10001,10128,1133.3333333333333
10001,10154,981.6
10001,10165,646.6666666666666
10001,10167,961.6216216216217
10001,10168,633.5294117647059
10001,10170,600.0
10001,10173,640.3846153846154
10001,10174,764.2105263157895
10001,10199,280.2985074626866
10001,10278,805.7142857142857
10001,10280,840.0
10001,10282,721.1764705882352
10001,10451,1470.0
10001,10453,1290.0
10001,10456,1380.0
10001,10457,1500.0
10001,10461,1920.0
10001,10463,1290.0
10001,10467,1560.0
10001,10471,1320.0
10001,11101,1148.5714285714287
10001,11102,1395.0
10001,11103,1422.0
10001,11104,1005.0
10001,11105,1530.0
10001,11106,1243.6363636363637
10001,11109,960.0
10001,11201,1240.0
10001,11204,1560.0
10001,11205,1344.0
10001,11206,1480.0
10001,11211,1392.6315789473683
10001,11213,1560.0
10001,11215,1740.0
10001,11216,1890.0
10001,11217,1555.7142857142858
10001,11218,1100.0
10001,11222,1505.0
10001,11223,2430.0
10001,11225,1642.5
10001,11231,1350.0
10001,11233,1860.0
10001,11234,2520.0
10001,11237,1920.0
10001,11238,1704.0
10001,11355,1260.0
10001,11368,2160.0
10001,11369,2024.2105263157894
10001,11370,1320.0
10001,11371,2002.5
10001,11372,1200.0
10001,11373,1200.0
10001,11374,1560.0
10001,11377,1560.0
10001,11378,1320.0
10001,11379,1320.0
10001,11419,2940.0
10001,11421,1500.0
10001,11430,2718.181818181818
10001,11436,2310.0
10002,7029,1560.0
10002,7030,1260.0
10002,7086,1620.0
10002,7093,1800.0
10002,7114,1800.0
10002,7675,3420.0
10002,8817,2160.0
10002,10001,990.2857142857143
10002,10002,297.42857142857144
10002,10003,466.9149659863946
10002,10004,612.1428571428571
10002,10005,886.6666666666666
10002,10006,702.3529411764706
10002,10007,674.2105263157895
10002,10009,321.6940509915014
10002,10010,556.3307392996109
10002,10011,876.0897435897435
10002,10012,387.1376404494382
10002,10013,544.8387096774194
10002,10014,688.7117647058824
10002,10016,736.4615384615385
10002,10017,644.2105263157895
10002,10018,1093.8461538461538
10002,10019,1224.0
10002,10020,1146.3157894736842
10002,10021,844.1860465116279
10002,10022,948.4615384615385
10002,10023,1234.8837209302326
10002,10024,1412.5714285714287
10002,10025,1444.2857142857142
10002,10026,1411.764705882353
10002,10027,1520.0
10002,10028,998.9473684210526
10002,10029,922.5
10002,10030,1240.0
10002,10031,1405.7142857142858
10002,10032,1362.857142857143
10002,10033,1345.7142857142858
10002,10035,940.0
10002,10036,1166.0377358490566
10002,10037,1311.4285714285713
10002,10038,563.4375
10002,10039,1425.0
10002,10040,2160.0
10002,10044,768.0
10002,10065,813.8275862068965
10002,10069,1467.2727272727273
10002,10075,955.8139534883721
10002,10103,285.3181818181818
10002,10111,1041.8181818181818
10002,10112,1004.0
10002,10115,1800.0
10002,10119,856.925925925926
10002,10128,978.1132075471698
10002,10154,883.448275862069
10002,10165,1003.6363636363636
10002,10167,855.0
10002,10168,788.0
10002,10170,660.0
10002,10173,800.625
10002,10174,680.75
10002,10199,825.0
10002,10278,474.0779220779221
10002,10280,676.0
10002,10282,703.125
10002,10303,1740.0
10002,10304,1560.0
10002,10305,1860.0
10002,10311,2520.0
10002,10453,1080.0
10002,10454,960.0
10002,10455,1980.0
10002,10456,1290.0
10002,10458,1440.0
10002,10459,1020.0
10002,10460,1380.0
10002,10462,1620.0
10002,10463,2100.0
10002,10470,1800.0
10002,10471,1590.0
10002,10472,1200.0
10002,11101,1440.0
10002,11102,953.3333333333334
10002,11103,1097.142857142857
10002,11104,896.0
10002,11105,1091.1333333333334
10002,11106,1192.9411764705883
10002,11109,762.8571428571429
10002,11201,752.0689655172414
10002,11203,2460.0
10002,11205,732.7659574468086
10002,11206,714.4186046511628
10002,11207,1980.0
10002,11208,1820.0
10002,11209,1476.0
10002,11210,2190.0
10002,11211,477.14285714285717
10002,11212,1500.0
10002,11213,1140.0
10002,11214,1410.0
10002,11215,1158.1818181818182
10002,11216,915.5555555555555
10002,11217,862.6415094339623
10002,11218,1270.0
10002,11219,1590.0
10002,11220,1305.0
10002,11221,936.0
10002,11222,610.31
10002,11223,1590.0
10002,11225,1251.4285714285713
10002,11226,1390.0
10002,11228,1440.0
10002,11229,1920.0
10002,11230,1249.090909090909
10002,11231,1013.8333333333334
10002,11232,1080.0
10002,11233,1056.0
10002,11234,1980.0
10002,11235,2440.0
10002,11236,2160.0
10002,11237,1068.2926829268292
10002,11238,1057.6744186046512
10002,11354,1230.0
10002,11355,1290.0
10002,11357,1140.0
10002,11358,1650.0
10002,11361,1500.0
10002,11364,1320.0
10002,11367,930.0
10002,11369,1061.5384615384614
10002,11370,840.0
10002,11371,1172.3076923076924
10002,11372,830.0
10002,11373,970.0
10002,11374,972.0
10002,11375,1020.0
10002,11377,874.2857142857143
10002,11378,855.0
10002,11379,1170.0
10002,11385,1218.0
10002,11414,1260.0
10002,11418,1680.0
10002,11420,1140.0
10002,11421,1230.0
10002,11422,1560.0
10002,11423,1380.0
10002,11427,1020.0
10002,11430,2149.4117647058824
10002,11436,1290.0
10002,11576,1620.0
10003,7024,1020.0
10003,7030,1176.0
10003,7047,540.0
10003,7093,1740.0
10003,7102,1440.0
10003,7114,1980.0
10003,7302,1040.0
10003,7307,1500.0
10003,7310,660.0
10003,7656,2820.0
10003,7666,1440.0
10003,7670,3780.0
10003,7732,1020.0
10003,10001,656.1635514018692
10003,10002,559.1111111111111
10003,10003,290.83452380952383
10003,10004,799.8387096774194
10003,10005,951.7241379310345
10003,10006,787.8260869565217
10003,10007,656.1722689075631
10003,10009,377.0192837465565
10003,10010,330.6651982378855
10003,10011,506.76427255985266
10003,10012,390.6870937790158
10003,10013,577.125
10003,10014,404.5280276816609
